scenario_id,title,status,player_count,actual_cards,reverser_axes,decision_kinds,decision_criticality,information_gain,execution_complexity,first_wave,native_setup_boundary,authority_status,commander_relevance
RQ-C1-C04,Fierce Guardianship free with commander,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Fierce Guardianship|Cultivate,COSTS_MANA|COMMANDER|DECISION_SEAM,cast|alternate cost|targets|pass,HIGH,HIGH,LOW,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,TRUE
RQ-C1-D01,Cryptic Command choose-two plus targets,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Cryptic Command|Llanowar Elves|Runeclaw Bear,DECISION_SEAM|RULES_CORRECTNESS,cast|modes|targets|mana payment|pass,HIGH,VERY_HIGH,MEDIUM,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-D02,Twincast copies Lightning Bolt with new target,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Twincast|Lightning Bolt,DECISION_SEAM|RULES_CORRECTNESS|NATIVE_IDENTITY,cast|targets|copy choices|mana payment|pass,HIGH,HIGH,MEDIUM,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-D03,Bolt answered by Giant Growth,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Lightning Bolt|Giant Growth|Runeclaw Bear,DECISION_SEAM|RULES_CORRECTNESS,cast|targets|mana payment|pass,HIGH,HIGH,LOW,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-D04,Phantasmal Image copy then sacrificed,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Phantasmal Image|Runeclaw Bear|Doom Blade,DECISION_SEAM|TRIGGERS|ZONE_IDENTITY|RULES_CORRECTNESS,cast|copy choices|targets|mana payment|pass,HIGH,HIGH,MEDIUM,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-D05,Rolling Thunder chooser division,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Rolling Thunder,DECISION_SEAM|COSTS_MANA|RULES_CORRECTNESS,cast|X|targets|divide/distribute|mana payment|pass,HIGH,HIGH,MEDIUM,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-D06,Casualties of War choose one or more,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Casualties of War,DECISION_SEAM|RULES_CORRECTNESS,cast|modes|targets|mana payment|pass,HIGH,VERY_HIGH,HIGH,TRUE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-E01,Propaganda multi-defender attack tax,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Propaganda|Runeclaw Bear,COMBAT|MULTIPLAYER|COSTS_MANA|DECISION_SEAM,attackers|defender per attacker|mana payment|pass,HIGH,HIGH,MEDIUM,TRUE,PRE_STEP_NATIVE_PROGRESSION,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-E02,Double-blocked trampler ordering and rollover,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Carnage Tyrant|Runeclaw Bear|Llanowar Elves,COMBAT|DECISION_SEAM|RULES_CORRECTNESS,attackers|defender per attacker|blockers|ordering|combat damage assignment|pass,BLOCKING,VERY_HIGH,MEDIUM,TRUE,PRE_STEP_NATIVE_PROGRESSION,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-E03,Deathtouch blocker mutual destruction,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Runeclaw Bear|Deadly Recluse,COMBAT|RULES_CORRECTNESS|DECISION_SEAM,attackers|defender per attacker|blockers|combat damage assignment|pass,MEDIUM,MEDIUM,LOW,FALSE,PRE_STEP_NATIVE_PROGRESSION,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-F01,Rampant Growth search plus shuffle,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Rampant Growth,HIDDEN_INFO|DECISION_SEAM|RULES_RNG|REPLAY,cast|mana payment|search|hidden-zone selection|pass,HIGH,HIGH,LOW,TRUE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-F02,Duress scoped reveal and choice,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Duress,HIDDEN_INFO|DECISION_SEAM|RULES_CORRECTNESS,cast|targets|hidden-zone selection|reveal|discard|mana payment|pass,HIGH,HIGH,LOW,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-F03,Willbender morph redirect,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Willbender|Lightning Bolt|Runeclaw Bear|Llanowar Elves,HIDDEN_INFO|DECISION_SEAM|TRIGGERS|NATIVE_IDENTITY,cast|targets|mana payment|pass,HIGH,VERY_HIGH,MEDIUM,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-F04,Preordain scry ordering,READY_FOR_CANDIDATE_EXECUTION,4,Preordain,HIDDEN_INFO|DECISION_SEAM|RULES_CORRECTNESS,cast|scry|mana payment|pass,MEDIUM,MEDIUM,LOW,FALSE,NATURAL_GAME_START,OFFICIAL_ORACLE_DIRECT,FALSE
RQ-C1-G01,Council's Judgment tied vote,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Council's Judgment|Runeclaw Bear|Llanowar Elves,MULTIPLAYER|DECISION_SEAM|RULES_CORRECTNESS,cast|voting|mana payment|pass,HIGH,HIGH,MEDIUM,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-G02,Commander movement choice and tax,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,"Ghalta, Stampede Tyrant|Murder",COMMANDER|ZONE_IDENTITY|COSTS_MANA|DECISION_SEAM,cast|targets|mana payment|Commander movement|pass,HIGH,HIGH,MEDIUM,TRUE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,TRUE
RQ-C1-G03,Commander damage loss at 21,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,"Ghalta, Stampede Tyrant",COMMANDER|MULTIPLAYER|RULES_CORRECTNESS|COMBAT,attackers|defender per attacker|blockers|pass,HIGH,HIGH,MEDIUM,TRUE,PRE_DECISION_CONSTRUCTION,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,TRUE
RQ-C1-G04,Control Magic controller leaves game,AUTHORITY_GATE_REQUIRED,4,Control Magic|Runeclaw Bear,MULTIPLAYER|RULES_CORRECTNESS|ZONE_IDENTITY|NATIVE_IDENTITY|DECISION_SEAM,concession|pass,HIGH,VERY_HIGH,HIGH,TRUE,NATURAL_GAME_START,AUTHORITY_GATE_REQUIRED,FALSE
RQ-C1-G05,Braids each-opponent sacrifice,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,"Braids, Arisen Nightmare",MULTIPLAYER|TRIGGERS|DECISION_SEAM|RULES_CORRECTNESS,may|sacrifice|pass,MEDIUM,MEDIUM,MEDIUM,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-H01,Clone under Humility,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Clone|Humility|Runeclaw Bear,LAYERS|RULES_CORRECTNESS|ZONE_IDENTITY|DECISION_SEAM,cast|copy choices|mana payment|pass,HIGH,VERY_HIGH,MEDIUM,TRUE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-H02,Growth versus Frog timestamp orders,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Giant Growth|Turn to Frog|Runeclaw Bear,LAYERS|RULES_CORRECTNESS|DECISION_SEAM,cast|targets|mana payment|pass,HIGH,VERY_HIGH,MEDIUM,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-I01,Blink drops counters and Aura,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Momentary Blink|Runeclaw Bear|Pacifism,ZONE_IDENTITY|NATIVE_IDENTITY|RULES_CORRECTNESS,cast|targets|mana payment|pass,HIGH,VERY_HIGH,MEDIUM,TRUE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-I02,Reanimate steals from graveyard,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Reanimate|Runeclaw Bear,ZONE_IDENTITY|COSTS_MANA|NATIVE_IDENTITY|RULES_CORRECTNESS,cast|targets|mana payment|pass,MEDIUM,MEDIUM,LOW,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-I03,"Token sacrificed, triggers, ceases",READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Doomed Traveler|Altar's Reap|Blood Artist,ZONE_IDENTITY|TRIGGERS|COSTS_MANA|RULES_CORRECTNESS,cast|sacrifice|targets|pass,HIGH,HIGH,MEDIUM,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-J01,Mana Crypt journaled coin flip,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Mana Crypt,RULES_RNG|TRIGGERS|REPLAY|RULES_CORRECTNESS,pass,MEDIUM,MEDIUM,LOW,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-J02,Delina d20 with roll-again,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,"Delina, Wild Mage|Runeclaw Bear",RULES_RNG|TRIGGERS|ZONE_IDENTITY|REPLAY|COMBAT|DECISION_SEAM,attackers|defender per attacker|targets|pass,HIGH,VERY_HIGH,HIGH,TRUE,PRE_STEP_NATIVE_PROGRESSION,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-J03,Hymn random discard,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Hymn to Tourach,RULES_RNG|HIDDEN_INFO|REPLAY|RULES_CORRECTNESS,cast|targets|mana payment|pass,MEDIUM,HIGH,LOW,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-K01,Wrath trigger accounting,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Wrath of God|Blood Artist|Soul Warden|Runeclaw Bear,RULES_CORRECTNESS|TRIGGERS|MULTIPLAYER|DECISION_SEAM,cast|mana payment|targets|pass,HIGH,VERY_HIGH,MEDIUM,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-K02,Clone across controllers: no legend transit,AUTHORITY_GATE_REQUIRED,4,"Clone|Ghalta, Stampede Tyrant|Blood Artist",RULES_CORRECTNESS|ZONE_IDENTITY|DECISION_SEAM,cast|copy choices|pass,MEDIUM,HIGH,MEDIUM,FALSE,NATURAL_GAME_START,AUTHORITY_GATE_REQUIRED,FALSE
